category,department,keywords,sample_queries
Online Banking,Digital Banking Support,"online banking, online login, mobile banking, net banking, internet banking",I need help with internet banking.
Online Banking,Digital Banking Support,"banking app, online banking, mobile banking, net banking, internet banking",I need help with online banking.
Online Banking,Digital Banking Support,"mobile banking, net banking, banking app, online login, internet banking",I need help with online login.
Online Banking,Digital Banking Support,"online banking, banking app, mobile banking, net banking, internet banking",I need help with mobile banking.
Online Banking,Digital Banking Support,"mobile banking, banking app, net banking, online login, online banking",I need help with mobile banking.
Online Banking,Digital Banking Support,"online banking, mobile banking, online login, net banking, banking app",I need help with internet banking.
Online Banking,Digital Banking Support,"net banking, online banking, internet banking, online login, mobile banking",I need help with online login.
Online Banking,Digital Banking Support,"internet banking, online banking, banking app, mobile banking, online login",I need help with banking app.
Online Banking,Digital Banking Support,"net banking, mobile banking, online banking, internet banking, online login",I need help with online login.
Online Banking,Digital Banking Support,"net banking, online banking, online login, banking app, internet banking",I need help with internet banking.
Online Banking,Digital Banking Support,"banking app, net banking, online banking, internet banking, online login",I need help with net banking.
Online Banking,Digital Banking Support,"online login, internet banking, mobile banking, online banking, banking app",I need help with online login.
Online Banking,Digital Banking Support,"mobile banking, net banking, online banking, banking app, internet banking",I need help with internet banking.
Online Banking,Digital Banking Support,"net banking, internet banking, online login, mobile banking, banking app",I need help with internet banking.
Online Banking,Digital Banking Support,"internet banking, online login, banking app, mobile banking, net banking",I need help with net banking.
Online Banking,Digital Banking Support,"net banking, mobile banking, online banking, internet banking, banking app",I need help with banking app.
Online Banking,Digital Banking Support,"online login, mobile banking, banking app, internet banking, online banking",I need help with mobile banking.
Online Banking,Digital Banking Support,"online banking, internet banking, online login, net banking, banking app",I need help with online login.
Online Banking,Digital Banking Support,"online login, mobile banking, online banking, internet banking, banking app",I need help with net banking.
Online Banking,Digital Banking Support,"banking app, internet banking, online banking, net banking, mobile banking",I need help with online banking.
Online Banking,Digital Banking Support,"online login, net banking, banking app, online banking, internet banking",I need help with mobile banking.
Online Banking,Digital Banking Support,"net banking, online login, banking app, internet banking, online banking",I need help with internet banking.
Online Banking,Digital Banking Support,"online login, banking app, internet banking, mobile banking, net banking",I need help with mobile banking.
Online Banking,Digital Banking Support,"banking app, net banking, online login, mobile banking, internet banking",I need help with internet banking.
Online Banking,Digital Banking Support,"online login, mobile banking, online banking, internet banking, banking app",I need help with net banking.
Online Banking,Digital Banking Support,"internet banking, mobile banking, online login, net banking, online banking",I need help with online login.
Online Banking,Digital Banking Support,"online login, banking app, online banking, net banking, mobile banking",I need help with banking app.
Online Banking,Digital Banking Support,"online login, online banking, net banking, mobile banking, banking app",I need help with mobile banking.
Online Banking,Digital Banking Support,"internet banking, online banking, banking app, mobile banking, net banking",I need help with online banking.
Online Banking,Digital Banking Support,"internet banking, mobile banking, banking app, online login, online banking",I need help with net banking.
Online Banking,Digital Banking Support,"banking app, internet banking, online banking, mobile banking, online login",I need help with net banking.
Online Banking,Digital Banking Support,"mobile banking, internet banking, online banking, online login, net banking",I need help with net banking.
Online Banking,Digital Banking Support,"internet banking, banking app, online banking, online login, net banking",I need help with internet banking.
Online Banking,Digital Banking Support,"internet banking, banking app, mobile banking, net banking, online login",I need help with banking app.
Online Banking,Digital Banking Support,"online login, banking app, mobile banking, online banking, net banking",I need help with mobile banking.
Online Banking,Digital Banking Support,"banking app, online banking, online login, internet banking, mobile banking",I need help with online banking.
Online Banking,Digital Banking Support,"net banking, online login, banking app, online banking, mobile banking",I need help with net banking.
Online Banking,Digital Banking Support,"mobile banking, banking app, online banking, online login, net banking",I need help with banking app.
Online Banking,Digital Banking Support,"online banking, net banking, online login, internet banking, mobile banking",I need help with online login.
Online Banking,Digital Banking Support,"online login, internet banking, net banking, mobile banking, banking app",I need help with net banking.
Online Banking,Digital Banking Support,"online login, online banking, banking app, mobile banking, net banking",I need help with online banking.
Online Banking,Digital Banking Support,"mobile banking, internet banking, online login, net banking, online banking",I need help with banking app.
Online Banking,Digital Banking Support,"banking app, online banking, online login, internet banking, net banking",I need help with banking app.
Online Banking,Digital Banking Support,"mobile banking, banking app, online login, internet banking, net banking",I need help with banking app.
Online Banking,Digital Banking Support,"online banking, online login, internet banking, mobile banking, banking app",I need help with online login.
Online Banking,Digital Banking Support,"online banking, banking app, net banking, mobile banking, internet banking",I need help with banking app.
